t_s,poolPct
39.9,237.0
40.0,414.4
40.1,348.5
40.2,217.7
40.3,76.5
40.4,90.8
40.5,214.3
40.6,176.0
40.7,84.3
40.8,38.9
40.9,128.9
41.0,326.7
41.1,345.7
41.2,300.9
41.3,132.8
41.4,71.7
41.5,136.3
41.6,163.6
41.7,114.3
41.8,37.1
41.9,187.6
42.0,280.1
42.1,372.8
42.2,300.5
42.3,174.2
42.4,82.0
42.5,197.1
42.6,186.7
42.7,154.8
42.8,71.8
42.9,63.2
43.0,283.3
43.1,369.5
43.2,356.3
43.3,193.3
43.4,79.9
43.5,45.9
43.6,199.5
43.7,178.3
43.8,97.3
43.9,29.9
44.0,92.7
44.1,354.8
44.2,381.4
44.3,267.8
44.4,170.3
44.5,92.5
44.6,179.9
44.7,206.1
44.8,114.3
44.9,56.5
45.0,52.3
45.1,290.8
45.2,411.2
45.3,308.0
45.4,200.0
45.5,46.2
45.6,195.1
45.7,221.9
45.8,140.8
45.9,73.0
46.0,24.3
46.1,200.3
46.2,320.6
46.3,328.9
46.4,259.3
46.5,125.2
46.6,111.2
46.7,201.7
46.8,158.6
46.9,97.0
47.0,15.1
47.1,26.8
47.2,446.5
47.3,396.7
47.4,292.1
47.5,160.7
47.6,108.3
47.7,179.7
47.8,175.8
47.9,118.6
48.0,47.9
48.1,67.9
48.2,276.8
48.3,380.8
48.4,336.5
48.5,181.1
48.6,96.1
48.7,124.6
48.8,192.4
48.9,139.7
49.0,56.3
49.1,65.2
49.2,253.0
49.3,388.5
49.4,348.4
49.5,225.1
49.6,90.0
49.7,139.3
49.8,182.5
49.9,158.1
50.0,81.2
50.1,31.1
50.2,164.5
50.3,360.4
50.4,377.9
50.5,239.6
50.6,117.8
50.7,146.9
50.8,162.6
50.9,131.5
51.0,103.5
51.1,21.3
51.2,138.7
51.3,277.1
51.4,380.9
51.5,307.5
51.6,168.9
51.7,116.2
51.8,187.9
51.9,172.7
52.0,106.5
52.1,34.2
52.2,101.9
52.3,268.2
52.4,268.2
52.5,299.2
52.6,238.6
52.7,165.4
52.8,169.4
52.9,201.9
53.0,150.7
53.1,72.3
53.2,17.3
53.3,203.6
53.4,385.7
53.5,381.4
53.6,250.4
53.7,106.7
53.8,143.4
53.9,189.8
54.0,140.1
54.1,64.0
54.2,9.8
54.3,203.6
54.4,265.4
54.5,375.3
54.6,283.0
54.7,174.7
54.8,157.4
54.9,154.6
55.0,114.9
55.1,77.4
55.2,69.9
55.3,151.8
55.4,235.9
55.5,385.3
55.6,258.6
55.7,158.8
55.8,115.5
55.9,134.4
56.0,188.6
56.1,112.6
56.2,54.5
56.3,37.7
56.4,269.3
56.5,334.7
56.6,364.0
56.7,223.0
56.8,71.8
56.9,167.7
57.0,185.4
57.1,124.9
57.2,69.4
57.3,20.0
57.4,290.7
57.5,290.7
57.6,290.7
57.7,237.6
57.8,182.9
57.9,165.2
58.0,170.5
58.1,177.8
58.2,88.7
58.3,49.6
58.4,0.0
58.5,310.0
58.6,369.0
58.7,258.3
58.8,238.7
58.9,163.2
59.0,142.7
59.1,182.4
59.2,134.0
59.3,75.2
59.4,1.5
59.5,234.3
59.6,328.1
59.7,377.4
59.8,271.1
59.9,131.3
60.0,87.8
60.1,81.3
60.2,96.9
60.3,168.2
60.4,131.6
60.5,243.8
60.6,342.8
60.7,342.8
60.8,280.9
60.9,211.9
61.0,114.6
61.1,186.9
61.2,147.9
61.3,70.7
61.4,40.0
61.5,66.9
61.6,242.8
61.7,403.5
61.8,333.7
61.9,211.5
62.0,113.8
62.1,170.3
62.2,197.6
62.3,94.0
62.4,41.0
62.5,32.2
62.6,268.5
62.7,368.2
62.8,322.5
62.9,227.9
63.0,136.9
63.1,163.4
63.2,183.0
63.3,119.8
63.4,73.5
63.5,10.3
63.6,0.0
63.7,364.7
63.8,348.7
63.9,309.8
64.0,213.6
64.1,164.1
64.2,198.3
64.3,157.0
64.4,87.5
64.5,0.0
64.6,29.0
64.7,249.3
64.8,397.4
64.9,388.7
65.0,193.8
65.1,165.5
65.2,183.8
65.3,137.0
65.4,92.0
65.5,38.4
65.6,10.4
65.7,160.0
65.8,378.2
65.9,382.6
66.0,252.0
66.1,119.4
66.2,177.7
66.3,194.5
66.4,125.0
66.5,60.4
66.6,177.3
66.7,246.1
66.8,246.1
66.9,246.1
67.0,218.8
67.1,177.0
67.2,123.6
67.3,197.8
67.4,149.8
67.5,80.5
67.6,11.2
67.7,99.7
67.8,353.1
67.9,367.2
68.0,308.5
68.1,177.9
68.2,134.0
68.3,179.0
68.4,157.8
68.5,79.7
68.6,33.6
68.7,98.0
68.8,290.2
68.9,395.6
69.0,301.0
69.1,210.0
69.2,131.6
69.3,163.9
69.4,191.2
69.5,100.8
69.6,48.1
69.7,7.2
69.8,295.1
69.9,372.0
70.0,326.3
70.1,215.7
70.2,56.6
70.3,144.1
70.4,192.7
70.5,152.0
70.6,89.5
70.7,97.8
70.8,180.3
70.9,318.2
71.0,368.9
71.1,245.4
71.2,148.5
71.3,94.9
71.4,184.7
71.5,142.4
71.6,96.7
71.7,12.7
71.8,149.5
71.9,282.3
72.0,371.3
72.1,266.0
72.2,142.1
72.3,90.6
72.4,169.9
72.5,201.3
72.6,113.4
72.7,45.8
72.8,176.8
72.9,300.4
73.0,340.0
73.1,312.5
73.2,200.9
73.3,74.9
73.4,86.1
73.5,161.8
73.6,135.2
73.7,80.6
73.8,166.4
73.9,244.2
74.0,365.2
74.1,347.9
74.2,164.5
74.3,53.5
74.4,86.0
74.5,167.9
74.6,157.4
74.7,108.9
74.8,79.1
74.9,283.6
75.0,386.5
75.1,330.9
75.2,203.2
75.3,90.9
75.4,15.8
75.5,175.1
75.6,172.4
75.7,123.7
75.8,43.3
75.9,282.1
76.0,289.0
76.1,387.3
76.2,232.5
76.3,94.8
76.4,70.0
76.5,128.5
76.6,190.0
76.7,137.2
76.8,110.4
76.9,229.8
77.0,229.8
77.1,278.0
77.2,304.1
77.3,195.8
77.4,25.3
77.5,148.5
77.6,204.5
77.7,103.0
77.8,76.1
77.9,18.6
78.0,190.2
78.1,334.9
78.2,356.6
78.3,259.5
78.4,142.8
78.5,172.4
78.6,222.3
78.7,154.2
78.8,90.5
78.9,29.6
79.0,236.3
79.1,397.8
79.2,404.7
79.3,243.7
79.4,130.3
79.5,81.8
79.6,189.3
79.7,168.0
79.8,76.0
79.9,54.8
80.0,196.7
80.1,332.7
80.2,370.5
80.3,269.0
80.4,120.7
80.5,68.3
80.6,133.4
80.7,197.4
80.8,174.2
80.9,76.2
81.0,96.8
81.1,377.8
81.2,385.2
81.3,339.5
81.4,193.7
81.5,29.1
81.6,166.9
81.7,185.5
81.8,145.4
81.9,87.5
82.0,175.3
82.1,376.8
82.2,383.8
82.3,303.4
82.4,152.9
82.5,38.0
82.6,101.9
82.7,210.1
82.8,164.4
82.9,119.3
83.0,116.4
83.1,247.4
83.2,389.6
83.3,325.2
83.4,228.7
83.5,191.9
83.6,25.4
83.7,101.2
83.8,203.0
83.9,187.1
84.0,143.3
84.1,362.6
84.2,398.8
84.3,363.1
84.4,219.8
84.5,169.7
84.6,12.4
84.7,61.3
84.8,232.3
84.9,182.6
85.0,215.1
85.1,361.4
85.2,367.9
85.3,378.3
85.4,216.2
85.5,155.7
85.6,16.7
85.7,0.0
85.8,187.5
85.9,203.1
86.0,181.2
86.1,357.5
86.2,407.5
86.3,342.1
86.4,215.2
86.5,137.1
86.6,0.0
86.7,4.9
86.8,66.6
86.9,201.0
87.0,192.3
87.1,236.3
87.2,375.4
87.3,366.2
87.4,223.7
87.5,144.5
87.6,32.9
87.7,0.0
87.8,114.8
87.9,220.8
88.0,238.2
88.1,308.3
88.2,345.7
88.3,403.0
88.4,300.2
88.5,142.5
88.6,35.9
88.7,0.0
88.8,132.6
88.9,174.5
89.0,176.7
89.1,291.1
89.2,327.2
89.3,385.8
89.4,306.0
89.5,178.0
89.6,75.0
89.7,0.0
89.8,41.1
89.9,137.3
90.0,194.2
90.1,221.2
90.2,289.9
90.3,306.7
90.4,293.0
90.5,190.5
90.6,80.7
90.7,11.0
90.8,11.1
90.9,149.6
91.0,201.6
91.1,235.0
91.2,351.8
91.3,374.9
91.4,314.0
91.5,219.2
91.6,104.5
91.7,7.0
91.8,0.0
91.9,143.8
92.0,203.0
92.1,185.4
92.2,335.8
92.3,370.4
92.4,383.5
92.5,190.4
92.6,109.5
92.7,0.0
92.8,19.1
92.9,106.9
93.0,187.1
93.1,153.3
93.2,235.4
93.3,414.3
93.4,372.0
93.5,314.9
93.6,208.3
93.7,19.9
93.8,6.7
93.9,89.8
94.0,196.0
94.1,137.1
94.2,153.0
94.3,424.2
94.4,388.7
