t_s,poolPct
39.9,287.7
40.0,355.4
40.1,402.7
40.2,282.5
40.3,250.4
40.4,181.0
40.5,77.0
40.6,33.8
40.7,31.1
40.8,156.6
40.9,349.8
41.0,288.0
41.1,396.4
41.2,312.5
41.3,285.7
41.4,122.5
41.5,48.2
41.6,9.3
41.7,0.0
41.8,104.2
41.9,304.5
42.0,372.1
42.1,384.0
42.2,345.8
42.3,254.6
42.4,144.3
42.5,74.8
42.6,0.0
42.7,0.0
42.8,52.2
42.9,194.9
43.0,346.1
43.1,364.6
43.2,358.8
43.3,269.0
43.4,253.4
43.5,98.9
43.6,46.3
43.7,0.0
43.8,0.0
43.9,113.3
44.0,266.0
44.1,374.5
44.2,351.1
44.3,280.1
44.4,244.7
44.5,93.3
44.6,58.2
44.7,0.0
44.8,0.0
44.9,112.3
45.0,183.5
45.1,341.9
45.2,354.7
45.3,287.8
45.4,269.1
45.5,81.5
45.6,93.2
45.7,10.4
45.8,0.0
45.9,0.0
46.0,204.1
46.1,316.5
46.2,377.8
46.3,351.5
46.4,259.7
46.5,163.1
46.6,78.7
46.7,29.7
46.8,0.0
46.9,0.0
47.0,136.6
47.1,344.2
47.2,355.3
47.3,388.4
47.4,278.9
47.5,167.4
47.6,98.7
47.7,11.8
47.8,0.0
47.9,0.0
48.0,174.7
48.1,203.1
48.2,287.7
48.3,333.3
48.4,298.0
48.5,190.6
48.6,83.7
48.7,47.6
48.8,17.8
48.9,4.0
49.0,66.8
49.1,138.0
49.2,194.1
49.3,194.1
49.4,194.1
49.5,194.1
49.6,225.2
49.7,230.0
49.8,136.8
49.9,95.3
50.0,170.1
50.1,270.4
50.2,270.4
50.3,285.6
50.4,310.4
50.5,229.8
50.6,208.7
50.7,173.5
50.8,133.6
50.9,92.5
51.0,171.1
51.1,209.9
51.2,269.3
51.3,299.9
51.4,299.9
51.5,183.9
51.6,133.3
51.7,180.7
51.8,156.0
51.9,98.3
52.0,73.0
52.1,130.0
52.2,344.0
52.3,344.0
52.4,257.9
52.5,140.1
52.6,112.8
52.7,196.5
52.8,152.3
52.9,126.6
53.0,50.8
53.1,250.4
53.2,280.2
53.3,332.9
53.4,289.5
53.5,136.4
53.6,78.3
53.7,206.8
53.8,163.4
53.9,116.9
54.0,49.2
54.1,113.1
54.2,316.5
54.3,316.5
54.4,269.4
54.5,267.5
54.6,157.0
54.7,160.6
54.8,179.8
54.9,108.0
55.0,51.3
55.1,152.5
55.2,167.6
55.3,221.6
55.4,375.4
55.5,237.5
55.6,177.1
55.7,176.3
55.8,203.0
55.9,120.2
56.0,74.8
56.1,38.2
56.2,96.2
56.3,230.7
56.4,230.7
56.5,230.7
56.6,229.0
56.7,219.4
56.8,234.3
56.9,150.0
57.0,83.9
57.1,122.2
57.2,165.6
57.3,261.2
57.4,406.2
57.5,192.4
57.6,192.4
57.7,1.9
57.8,197.6
57.9,180.5
58.0,140.3
58.1,91.6
58.2,90.5
58.3,333.9
58.4,347.1
58.5,293.6
58.6,174.0
58.7,55.7
58.8,185.3
58.9,170.8
59.0,119.6
59.1,83.0
59.2,57.3
59.3,201.1
59.4,256.7
59.5,276.6
59.6,243.0
59.7,219.4
59.8,149.6
59.9,152.7
60.0,154.6
60.1,140.3
60.2,149.4
60.3,153.7
60.4,295.1
60.5,309.5
60.6,264.3
60.7,93.3
60.8,88.8
60.9,192.1
61.0,170.7
61.1,109.8
61.2,74.3
61.3,113.6
61.4,373.1
61.5,373.1
61.6,274.3
61.7,171.5
61.8,25.7
61.9,121.2
62.0,220.3
62.1,140.4
62.2,98.1
62.3,66.9
62.4,304.0
62.5,346.6
62.6,344.7
62.7,154.8
62.8,85.5
62.9,108.1
63.0,205.3
63.1,133.8
63.2,90.8
63.3,153.2
63.4,262.1
63.5,295.2
63.6,223.2
63.7,194.4
63.8,55.4
63.9,127.8
64.0,163.0
64.1,151.4
64.2,122.9
64.3,57.6
64.4,162.6
64.5,336.5
64.6,336.5
64.7,223.4
64.8,118.8
64.9,111.6
65.0,170.4
65.1,169.6
65.2,83.5
65.3,32.0
65.4,273.8
65.5,273.8
65.6,273.8
65.7,238.5
65.8,155.6
65.9,79.1
66.0,177.0
66.1,177.0
66.2,177.0
66.3,61.8
66.4,109.9
66.5,271.1
66.6,271.1
66.7,266.6
66.8,193.1
66.9,83.5
67.0,135.5
67.1,156.7
67.2,156.7
67.3,154.5
67.4,46.4
67.5,234.1
67.6,326.6
67.7,327.6
67.8,262.4
67.9,182.0
68.0,173.0
68.1,197.0
68.2,124.4
68.3,106.8
68.4,53.7
68.5,251.6
68.6,329.6
68.7,225.3
68.8,264.8
68.9,189.8
69.0,115.5
69.1,145.3
69.2,175.7
69.3,110.4
69.4,52.6
69.5,187.2
69.6,235.2
69.7,237.7
69.8,235.7
69.9,182.6
70.0,118.1
70.1,179.2
70.2,204.9
70.3,116.3
70.4,66.1
70.5,13.3
70.6,256.0
70.7,363.9
70.8,307.2
70.9,226.5
71.0,178.5
71.1,171.4
71.2,181.9
71.3,149.4
71.4,88.4
71.5,13.7
71.6,208.9
71.7,354.6
71.8,362.9
71.9,257.7
72.0,124.9
72.1,133.5
72.2,189.0
72.3,197.2
72.4,78.6
72.5,45.0
72.6,151.8
72.7,283.7
72.8,352.9
72.9,296.5
73.0,161.0
73.1,96.4
73.2,212.4
73.3,176.5
73.4,134.6
73.5,73.4
73.6,65.5
73.7,318.3
73.8,275.0
73.9,271.4
74.0,146.9
74.1,133.2
74.2,166.0
74.3,184.5
74.4,125.0
74.5,66.0
74.6,140.8
74.7,254.5
74.8,382.4
74.9,346.4
75.0,178.3
75.1,100.2
75.2,119.3
75.3,179.4
75.4,138.5
75.5,99.3
75.6,143.6
75.7,257.1
75.8,365.9
75.9,340.2
76.0,157.5
76.1,69.6
76.2,56.8
76.3,198.8
76.4,167.9
76.5,119.8
76.6,168.2
76.7,274.2
76.8,367.5
76.9,315.1
77.0,174.4
77.1,87.9
77.2,93.2
77.3,151.5
77.4,145.4
77.5,91.9
77.6,114.7
77.7,169.2
77.8,342.4
77.9,339.1
78.0,230.9
78.1,112.6
78.2,75.3
78.3,160.8
78.4,183.3
78.5,162.2
78.6,94.6
78.7,34.1
78.8,376.2
78.9,342.8
79.0,288.7
79.1,219.8
79.2,96.5
79.3,128.9
79.4,179.7
79.5,134.0
79.6,84.9
79.7,19.7
79.8,345.1
79.9,345.4
80.0,324.3
80.1,263.6
80.2,112.1
80.3,76.1
80.4,214.0
80.5,188.8
80.6,89.8
80.7,77.6
80.8,213.1
80.9,303.7
81.0,350.8
81.1,276.3
81.2,160.5
81.3,126.0
81.4,181.8
81.5,155.4
81.6,126.2
81.7,78.6
81.8,108.6
81.9,326.2
82.0,345.9
82.1,297.8
82.2,177.7
82.3,55.5
82.4,142.0
82.5,201.9
82.6,155.9
82.7,101.7
82.8,28.5
82.9,312.0
83.0,370.8
83.1,354.3
83.2,202.2
83.3,92.8
83.4,52.0
83.5,176.4
83.6,185.9
83.7,119.2
83.8,60.3
83.9,190.0
84.0,276.5
84.1,349.7
84.2,299.8
84.3,210.2
84.4,14.6
84.5,183.0
84.6,198.3
84.7,168.3
84.8,99.1
84.9,108.4
85.0,222.2
85.1,413.9
85.2,337.6
85.3,167.6
85.4,71.3
85.5,103.7
85.6,235.1
85.7,165.9
85.8,113.4
85.9,38.1
86.0,115.0
86.1,162.0
86.2,162.0
86.3,329.3
86.4,322.7
86.5,293.5
86.6,235.2
86.7,150.3
86.8,105.1
86.9,46.9
87.0,170.2
87.1,313.6
87.2,320.2
87.3,286.9
87.4,170.9
87.5,93.5
87.6,250.9
87.7,166.6
87.8,121.0
87.9,56.0
88.0,247.2
88.1,247.2
88.2,247.2
88.3,316.3
88.4,190.3
88.5,113.1
88.6,150.7
88.7,152.8
88.8,147.4
88.9,76.6
89.0,159.8
89.1,201.9
89.2,274.9
89.3,307.7
89.4,218.2
89.5,122.2
89.6,129.2
89.7,186.3
89.8,116.4
89.9,74.8
90.0,10.3
90.1,125.9
90.2,315.5
90.3,390.6
90.4,219.8
90.5,142.5
90.6,150.8
90.7,189.0
90.8,152.1
90.9,81.5
91.0,29.2
91.1,177.6
91.2,362.4
91.3,367.3
91.4,282.8
91.5,192.9
91.6,175.8
91.7,189.1
91.8,182.4
91.9,110.4
92.0,53.6
92.1,86.1
92.2,270.1
92.3,315.3
92.4,297.0
92.5,137.8
92.6,161.8
92.7,164.6
92.8,179.9
92.9,124.8
93.0,39.3
93.1,189.5
93.2,266.0
93.3,345.5
93.4,308.9
93.5,185.6
93.6,162.5
93.7,162.2
93.8,151.8
93.9,120.2
94.0,55.3
94.1,67.0
94.2,184.1
94.3,348.8
94.4,334.0
94.5,193.5
94.6,198.6
94.7,162.8
94.8,167.2
94.9,118.9
95.0,60.9
95.1,100.2
95.2,223.3
95.3,274.8
95.4,340.4
95.5,246.2
95.6,164.2
95.7,122.3
95.8,190.9
95.9,152.0
96.0,105.2
96.1,35.7
96.2,109.4
96.3,313.3
96.4,324.7
96.5,261.1
96.6,213.8
96.7,125.7
96.8,219.3
96.9,163.7
97.0,83.7
97.1,28.8
97.2,55.5
97.3,257.2
97.4,363.2
97.5,417.8
97.6,180.3
97.7,196.7
97.8,196.2
97.9,209.7
98.0,81.0
98.1,76.3
98.2,38.4
98.3,254.9
98.4,334.7
98.5,321.9
98.6,249.5
98.7,72.7
98.8,72.7
98.9,126.1
99.0,149.9
99.1,128.4
99.2,110.6
99.3,264.1
99.4,324.9
99.5,360.5
99.6,303.8
99.7,141.7
99.8,53.8
99.9,176.5
100.0,185.3
100.1,129.2
100.2,67.2
100.3,194.1
100.4,338.8
100.5,338.6
100.6,294.1
100.7,162.5
100.8,123.1
100.9,121.0
101.0,208.3
101.1,143.1
101.2,71.8
101.3,52.3
101.4,379.7
101.5,367.5
101.6,337.5
101.7,183.9
101.8,114.7
101.9,114.9
102.0,162.3
102.1,175.4
102.2,125.4
102.3,216.8
102.4,304.0
102.5,322.0
102.6,309.7
102.7,225.9
102.8,102.4
102.9,55.7
103.0,142.9
103.1,163.2
103.2,161.1
103.3,112.4
103.4,346.3
103.5,353.7
103.6,385.2
103.7,181.9
103.8,102.9
103.9,10.1
104.0,154.4
104.1,182.4
104.2,155.6
104.3,125.0
104.4,158.7
104.5,354.3
104.6,401.9
104.7,282.7
104.8,171.5
104.9,14.3
105.0,25.6
105.1,179.7
105.2,166.5
105.3,147.4
105.4,248.6
105.5,274.6
105.6,324.3
105.7,279.2
105.8,152.8
105.9,13.2
106.0,12.1
106.1,201.6
106.2,177.2
106.3,129.5
106.4,85.6
106.5,295.0
106.6,303.8
106.7,303.8
106.8,303.8
106.9,128.3
107.0,12.4
107.1,114.9
107.2,200.8
107.3,168.6
107.4,186.5
107.5,300.3
107.6,398.8
107.7,333.7
107.8,181.4
107.9,114.8
108.0,1.8
108.1,91.1
108.2,162.3
108.3,174.9
108.4,89.0
108.5,259.0
108.6,339.3
108.7,348.3
108.8,271.5
108.9,135.5
109.0,33.6
109.1,51.1
109.2,118.9
109.3,176.1
109.4,127.1
109.5,97.3
109.6,404.6
109.7,337.9
109.8,327.8
109.9,206.0
110.0,90.6
110.1,23.4
110.2,79.9
110.3,163.2
110.4,172.8
110.5,113.5
110.6,289.2
110.7,356.2
110.8,356.2
110.9,230.1
111.0,153.1
111.1,0.0
111.2,62.0
111.3,144.6
111.4,175.6
111.5,135.5
111.6,166.8
111.7,288.5
111.8,407.6
111.9,279.6
112.0,185.1
112.1,61.2
112.2,19.2
112.3,108.3
112.4,181.9
112.5,146.9
112.6,153.8
112.7,242.2
112.8,325.6
112.9,298.9
113.0,186.9
113.1,139.0
113.2,25.4
113.3,120.8
113.4,174.8
113.5,149.7
113.6,147.2
113.7,181.4
113.8,362.6
113.9,320.3
114.0,221.4
114.1,131.9
114.2,33.7
114.3,98.0
114.4,161.2
114.5,174.2
114.6,120.9
114.7,180.6
114.8,389.9
114.9,312.5
115.0,283.2
115.1,168.4
115.2,64.1
115.3,5.4
115.4,181.0
115.5,204.7
115.6,172.3
115.7,131.7
115.8,333.2
115.9,352.4
116.0,324.5
116.1,180.4
116.2,73.0
116.3,10.3
116.4,105.6
116.5,185.1
116.6,172.1
116.7,103.1
116.8,314.2
116.9,294.2
117.0,249.2
117.1,231.4
117.2,130.5
117.3,34.7
117.4,118.6
117.5,156.1
117.6,160.2
117.7,132.2
117.8,205.0
117.9,348.4
118.0,344.6
118.1,225.1
118.2,116.3
118.3,49.0
118.4,29.5
118.5,124.4
118.6,187.0
118.7,126.0
118.8,232.4
118.9,322.0
119.0,321.2
119.1,245.9
119.2,151.7
119.3,21.7
119.4,60.0
119.5,140.7
119.6,182.4
119.7,134.0
119.8,218.8
119.9,237.8
120.0,346.0
120.1,353.8
120.2,165.2
120.3,66.9
120.4,0.6
120.5,123.3
120.6,147.7
120.7,153.9
120.8,201.0
120.9,273.4
121.0,349.1
121.1,264.6
121.2,144.3
121.3,66.6
121.4,10.7
121.5,64.3
121.6,180.5
121.7,155.7
121.8,198.9
121.9,353.2
122.0,333.9
