t_s,poolPct
39.9,128.5
40.0,133.8
40.1,133.8
40.2,126.6
40.3,93.6
40.4,93.5
40.5,87.3
40.6,87.2
40.7,86.5
40.8,86.5
40.9,79.7
41.0,66.0
41.1,99.3
41.2,171.5
41.3,214.6
41.4,168.0
41.5,141.5
41.6,100.0
41.7,122.2
41.8,161.6
41.9,159.2
42.0,100.4
42.1,114.8
42.2,122.9
42.3,122.9
42.4,61.5
42.5,65.5
42.6,81.0
42.7,92.5
42.8,91.9
42.9,64.3
43.0,64.2
43.1,82.0
43.2,141.0
43.3,100.1
43.4,141.4
43.5,165.7
43.6,157.5
43.7,157.3
43.8,166.8
43.9,204.7
44.0,232.6
44.1,192.6
44.2,173.6
44.3,166.9
44.4,188.0
44.5,227.2
44.6,137.3
44.7,166.0
44.8,149.2
44.9,129.3
45.0,155.4
45.1,157.9
45.2,173.7
45.3,125.4
45.4,109.0
45.5,149.5
45.6,195.4
45.7,197.5
45.8,117.2
45.9,136.7
46.0,157.4
46.1,162.8
46.2,164.4
46.3,113.9
46.4,118.4
46.5,122.2
46.6,112.3
46.7,109.5
46.8,134.9
46.9,127.1
47.0,85.0
47.1,71.0
47.2,133.7
47.3,142.7
47.4,125.6
47.5,81.9
47.6,82.8
47.7,79.1
47.8,32.9
47.9,57.4
48.0,94.2
48.1,115.7
48.2,141.1
48.3,133.0
48.4,123.3
48.5,131.5
48.6,205.8
48.7,138.2
48.8,96.5
48.9,72.3
49.0,65.5
49.1,116.2
49.2,155.1
49.3,121.3
49.4,92.5
49.5,88.8
49.6,113.5
49.7,176.4
49.8,47.7
49.9,80.1
50.0,129.4
50.1,166.2
50.2,195.9
50.3,139.3
50.4,105.3
50.5,130.2
50.6,111.2
50.7,135.1
50.8,130.6
50.9,146.5
51.0,187.8
51.1,184.0
51.2,241.6
51.3,112.5
51.4,137.7
51.5,154.0
51.6,130.6
51.7,156.8
51.8,162.1
51.9,118.8
52.0,201.3
52.1,153.2
52.2,143.4
52.3,162.1
52.4,192.5
52.5,208.4
52.6,150.8
52.7,180.8
52.8,105.7
52.9,86.5
53.0,90.6
53.1,127.9
53.2,154.4
53.3,85.3
53.4,147.5
53.5,178.7
53.6,113.7
53.7,152.2
53.8,212.6
53.9,156.3
54.0,189.4
54.1,106.1
54.2,122.4
54.3,150.4
54.4,165.5
54.5,159.1
54.6,183.3
54.7,159.4
54.8,91.1
54.9,170.1
55.0,168.7
55.1,190.8
55.2,190.6
55.3,156.2
55.4,155.0
55.5,216.8
55.6,130.9
55.7,68.7
55.8,102.0
55.9,178.3
56.0,202.4
56.1,93.5
56.2,82.4
56.3,59.4
56.4,47.6
56.5,94.3
56.6,107.0
56.7,97.6
56.8,103.3
56.9,95.2
57.0,63.5
57.1,60.1
57.2,59.7
57.3,57.4
57.4,30.7
57.5,24.4
57.6,90.2
57.7,103.8
57.8,116.5
57.9,112.5
58.0,137.1
58.1,168.6
58.2,141.9
58.3,158.4
58.4,183.6
58.5,216.2
58.6,165.0
58.7,158.1
58.8,151.5
58.9,138.6
59.0,136.5
59.1,97.2
59.2,67.5
59.3,49.7
59.4,61.0
59.5,83.8
59.6,88.6
59.7,128.2
59.8,133.5
59.9,161.2
60.0,161.2
60.1,126.4
60.2,76.7
60.3,106.0
60.4,123.0
60.5,125.5
60.6,143.4
60.7,170.8
60.8,142.1
60.9,191.9
61.0,163.3
61.1,146.2
61.2,187.1
61.3,161.3
61.4,234.0
61.5,103.9
61.6,83.7
61.7,133.3
61.8,153.7
61.9,211.2
62.0,235.0
62.1,260.8
62.2,245.4
62.3,150.3
62.4,236.4
62.5,268.1
62.6,243.2
62.7,263.6
62.8,184.6
62.9,220.9
63.0,240.9
63.1,250.3
63.2,244.7
63.3,178.9
63.4,167.6
63.5,130.0
63.6,131.0
63.7,177.1
63.8,171.5
63.9,158.8
64.0,152.1
64.1,168.3
64.2,230.7
64.3,135.6
64.4,160.4
64.5,132.4
64.6,107.1
64.7,160.5
64.8,174.6
64.9,177.6
65.0,189.9
65.1,221.6
65.2,209.7
65.3,183.2
65.4,135.8
65.5,109.1
65.6,109.1
65.7,149.7
65.8,195.9
65.9,156.2
66.0,125.9
66.1,147.2
66.2,151.5
66.3,139.7
66.4,166.5
66.5,174.1
66.6,145.3
66.7,53.0
66.8,34.1
66.9,132.8
67.0,139.4
67.1,158.2
67.2,182.0
67.3,99.0
67.4,134.5
67.5,157.2
67.6,112.4
67.7,107.2
67.8,119.9
67.9,199.7
68.0,161.8
68.1,228.3
68.2,260.4
68.3,247.7
68.4,221.1
68.5,110.0
68.6,143.8
68.7,135.3
68.8,108.1
68.9,90.1
69.0,92.3
69.1,147.1
69.2,217.6
69.3,260.4
69.4,240.1
69.5,222.4
69.6,222.5
69.7,231.1
69.8,175.1
69.9,251.3
70.0,181.2
70.1,155.9
70.2,131.0
70.3,112.7
70.4,120.2
70.5,151.7
70.6,162.0
70.7,180.3
70.8,128.2
70.9,76.2
71.0,164.6
71.1,154.4
71.2,127.4
71.3,113.7
71.4,150.4
71.5,142.2
71.6,135.6
71.7,132.4
71.8,135.0
71.9,168.5
72.0,202.0
72.1,202.0
72.2,227.7
72.3,237.9
72.4,256.8
72.5,178.5
72.6,157.7
72.7,183.5
72.8,200.0
72.9,199.3
73.0,193.9
73.1,193.9
73.2,190.8
73.3,185.5
73.4,185.0
73.5,183.1
73.6,183.1
73.7,133.4
73.8,120.2
73.9,183.1
74.0,174.2
74.1,160.9
74.2,155.9
74.3,119.2
74.4,93.1
74.5,95.9
